filename,id,language,date,author,title,gender,person,length
"DE_1771_La Roche,Sophievon_GeschichtedesFräuleinsvonSternheim_Novel.txt",1,German,1771,"La Roche,Sophievon",GeschichtedesFräuleinsvonSternheim,female,first,99070
"DE_1774_Goethe,Johann_DieLeidendesjungenWerthers1_Novel.txt",2,German,1774,"Goethe,Johann",DieLeidendesjungenWerthers1,male,first,34976
"DE_1774_Wieland,ChristophMartin_GeschichtederAbderiten_Novel.txt",3,German,1774,"Wieland,ChristophMartin",GeschichtederAbderiten,male,first,107398
"DE_1776_Nicolai,Friedrich_SebaldusNothanker_Novel.txt",4,German,1776,"Nicolai,Friedrich",SebaldusNothanker,male,third,122673
"DE_1779_Campe,Joachim_Robinson_Novel.txt",5,German,1779,"Campe,Joachim",Robinson,male,third,99439
"DE_1779_Jacobi,Friedrich_Woldemar_Novel.txt",6,German,1779,"Jacobi,Friedrich",Woldemar,male,third,29039
"DE_1780_Wezel,Johann_HermannundUlrike_Novel.txt",7,German,1780,"Wezel,Johann",HermannundUlrike,male,third,258327
"DE_1785_Moritz,KarlPhilipp_AntonReiser_Novel.txt",8,German,1785,"Moritz,KarlPhilipp",AntonReiser,male,third,131762
"DE_1786_Moritz,KarlPhilipp_AndreasHartknopf_Novel.txt",9,German,1786,"Moritz,KarlPhilipp",AndreasHartknopf,male,third,24992
"DE_1787_Heinse,Johann_Ardinghello_Novel.txt",10,German,1787,"Heinse,Johann",Ardinghello,male,first,103097
"DE_1788_Ehrmann,Marianne_Amalie.EinewahreGeschichteinBriefen_Novel.txt",11,German,1788,"Ehrmann,Marianne",Amalie.EinewahreGeschichteinBriefen,female,first,118135
"DE_1788_Ehrmann,Marianne_NinasBriefeanihrenGeliebten_Novel.txt",12,German,1788,"Ehrmann,Marianne",NinasBriefeanihrenGeliebten,female,first,43807
"DE_1788_Naubert,Benedikte_HermannvonUnna_Novel.txt",13,German,1788,"Naubert,Benedikte",HermannvonUnna,female,third,131008
"DE_1789_Schiller,Friedrich_DerGeisterseher_Novel.txt",14,German,1789,"Schiller,Friedrich",DerGeisterseher,male,first,42166
"DE_1791_Klinger,Friedrich_FaustsLeben_Novel.txt",15,German,1791,"Klinger,Friedrich",FaustsLeben,male,third,64352
"DE_1791_Knigge,Adolph_BenjaminNoldmann_Novel.txt",16,German,1791,"Knigge,Adolph",BenjaminNoldmann,male,first,93356
"DE_1791_Naubert,Benedikte_AlfvonDülmen_Novel.txt",17,German,1791,"Naubert,Benedikte",AlfvonDülmen,female,first,100413
"DE_1791_Naubert,Benedikte_DieAmtmanninvonHohenweiler_Novel.txt",18,German,1791,"Naubert,Benedikte",DieAmtmanninvonHohenweiler,female,first,114450
"DE_1792_Jacobi,Friedrich_EduardAllwill_Novel.txt",19,German,1792,"Jacobi,Friedrich",EduardAllwill,male,first,45891
"DE_1795_Goethe,Johann_WilhelmMeistersLehrjahre_Novel.txt",20,German,1795,"Goethe,Johann",WilhelmMeistersLehrjahre,male,third,196244
"DE_1795_Paul,Jean_Hesperus_Novel.txt",21,German,1795,"Paul,Jean",Hesperus,male,first,246175
"DE_1795_Wobeser,Karoline_Elisa_Novel.txt",22,German,1795,"Wobeser,Karoline",Elisa,female,third,74053
"DE_1796_Huber,Therese_FamilieSeldorf_Novel.txt",23,German,1796,"Huber,Therese",FamilieSeldorf,female,third,91940
"DE_1796_Huber,Therese_Luise_Novel.txt",24,German,1796,"Huber,Therese",Luise,female,third,39192
"DE_1796_Paul,Jean_QuintusFixlein_Novel.txt",25,German,1796,"Paul,Jean",QuintusFixlein,male,first,77012
"DE_1796_Tieck,Ludwig_WilliamLovell_Novel.txt",26,German,1796,"Tieck,Ludwig",WilliamLovell,male,third,159956
"DE_1797_Paul,Jean_Siebenkäs_Novel.txt",27,German,1797,"Paul,Jean",Siebenkäs,male,first,176825
"DE_1798_La Roche,Sophie von_ErscheinungenamSeeOneida_Novel.txt",28,German,1798,"La Roche,Sophie von",ErscheinungenamSeeOneida,female,first,102665
"DE_1798_Tieck,Ludwig_FranzSternbaldsWanderungen_Novel.txt",29,German,1798,"Tieck,Ludwig",FranzSternbaldsWanderungen,male,third,102628
"DE_1798_Unger,Friederike_JulchenGrünthal_Novel.txt",30,German,1798,"Unger,Friederike",JulchenGrünthal,female,third,97657
"DE_1798_Wolzogen,Caroline_AgnesvonLilien_Novel.txt",31,German,1798,"Wolzogen,Caroline",AgnesvonLilien,female,first,80184
DE_1799_Hölderlin_Hyperion_Novel.txt,32,German,1799,Hölderlin,Hyperion,male,first,76576
"DE_1799_Schlegel,Friedrich_Lucinde_Novel.txt",33,German,1799,"Schlegel,Friedrich",Lucinde,male,first,29976
